SRA,url,deathrate,hospitalrate,edrate,d-heartdisease,d-stroke,d-asthma,d-pulminarydisease,d-diabetes,d-cancer,h-heartdisease,h-stroke,h-asthma,h-pulminarydisease,h-diabetes,e-heartdisease,e-stroke,e-asthma,e-pulminarydisease,e-diabetes
Santee,santee,375.3,497.2,497.2,135.4,21.3,0,21.3,25.1,172.2,346.3,232.1,94.8,150.9,141.2,32.9,46.4,257.3,197.3,147.0
South Bay,southbay,321.2,703.1,703.1,94.7,28.9,0,14.1,26.6,156.9,377.4,262.0,77.0,118.4,224.2,45.9,48.8,482.5,423.3,204.3
Southeast SD,southeastsd,319.7,744.8,744.8,90.8,38.4,3.2,17.3,18.5,151.5,329.3,242.3,137.5,110.6,236.6,26.2,44.1,692.4,426.5,257.7
Spring Valley,springvalley,286.3,444.1,444.1,106.4,25.7,0,26.9,14.7,112.6,203.1,179.8,85.6,79.5,155.4,25.7,33.0,407.4,220.2,152.9
Sweetwater,sweetwater,134.7,218.1,218.1,35.1,12.4,0,7.3,8.8,71,172.8,111.3,28.6,40.3,43.9,16.1,21.2,126.7,102.5,60.8
University,university,231.6,231.7,231.7,87.2,15,0,16.5,9,103.8,157.9,111.3,16.5,31.6,33.1,21.1,36.1,112.8,90.2,46.6
Valley Center,valleycenter,285.6,306.9,306.9,89.5,0,0,38.4,21.3,136.4,174.8,208.9,25.6,63.9,98.0,25.6,81.0,153.5,119.4,93.8
Vista,vista,375,670.1,670.1,122.4,36.5,0,44.4,22.7,149,254.6,245.7,52.3,122.4,152.0,55.3,55.3,307.9,413.5,147.0
San Diego County,SDCO,347,527.3,527.3,107.8,33.1,1,32,18.6,154.4,282.7,222.0,70.3,103.4,134.3,35.8,55.8,307.7,265.7,137.3

